level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
bachelor,bachelor,"Bachelor of Arts - BA, Business Management",business management,bachelor of arts ba business management,business management
bachelor,bachelor,"Bachelor of Arts - BA, Business with Human Resource Management",,bachelor of arts ba business with human resource management,business
bachelor,bachelor,"Bachelor of Arts - BA, Communication and Media Studies",media studies,bachelor of arts ba communication and media studies,media studies
bachelor,Bachelor,"Bachelor of Arts - BA, Communication and Media, Journalism",media studies,bachelor of arts ba communication and media journalism,media studies
bachelor,bachelor,"Bachelor of Arts - BA, Communications and New Media",media studies,bachelor of arts ba communications and new media,media studies
bachelor,bachelor,"Bachelor of Arts - BA, Design and Visual Communications, General",languages and literature,bachelor of arts ba design and visual communications general,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language",languages and literature,bachelor of arts ba english language,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature, General",languages and literature,bachelor of arts ba english language and literature general,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, English Language and Literature/Letters with an emphasis in Creative Writing",languages and literature,bachelor of arts ba english language and literatureletters with an emphasis in creative writing,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, History / Minor in Communication Studies",,bachelor of arts ba history minor in communication studies,history
bachelor,bachelor,"Bachelor of Arts - BA, International Business",,bachelor of arts ba international business,business
bachelor,bachelor,"Bachelor of Arts - BA, International Relations and Affairs",,bachelor of arts ba international relations and affairs,international relations
bachelor,bachelor,"Bachelor of Arts - BA, Journalism",,bachelor of arts ba journalism,journalism
bachelor,bachelor,"Bachelor of Arts - BA, Language and Communication",Languages and literature,bachelor of arts ba language and communication,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Linguistics",Languages and literature,bachelor of arts ba linguistics,languages and literature
bachelor,bachelor,"Bachelor of Arts - BA, Mass Communication/Media Studies",media studies,bachelor of arts ba mass communicationmedia studies,media studies
bachelor,bachelor,"Bachelor of Arts - BA, Oriental Languages and Cultures",,bachelor of arts ba oriental languages and cultures,languages
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy",philosophy,bachelor of arts ba philosophy,philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Philosophy and Politics",philosophy,bachelor of arts ba philosophy and politics,philosophy
bachelor,bachelor,"Bachelor of Arts - BA, Public Relations & Marketing",marketing,bachelor of arts ba public relations marketing,marketing
bachelor,bachelor,"Bachelor of Arts - BA, Sociology",sociology,bachelor of arts ba sociology,sociology
bachelor,bachelor,"Bachelor of Arts - BA, Theatre/Theater",,bachelor of arts ba theatretheater,other
bachelor,bachelor,"Bachelor of Arts - BA, Tourism & Events Management / Hospitality & Tourism Management",,bachelor of arts ba tourism events management hospitality tourism management,management
bachelor,bachelor,"Bachelor of Arts - BA, Translation",,bachelor of arts ba translation,translation
bachelor,bachelor,"Bachelor of Arts - BA(Hons), Business with Tourism",,bachelor of arts bahons business with tourism,business
bachelor,Bachelor,Bachelor of Arts (B.A.),,bachelor of arts ba,other
bachelor,bachelor,"Bachelor of Arts (B.A.) Honours, Business and Management",business management,bachelor of arts ba honours business and management,business management
bachelor,bachelor,"Bachelor of Arts (B.A.) in Design Communication, Graphic Design",,bachelor of arts ba in design communication graphic design,graphic design
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising",,bachelor of arts ba advertising,advertising
bachelor,bachelor,"Bachelor of Arts (B.A.), Advertising and Marketing",,bachelor of arts ba advertising and marketing,marketing
bachelor,bachelor,"Bachelor of Arts (B.A.), Arts, Entertainment, and Media Management",,bachelor of arts ba arts entertainment and media management,management
bachelor,bachelor,"Bachelor of Arts (B.A.), Behavioral Studies",,bachelor of arts ba behavioral studies,other
bachelor,bachelor,"Bachelor of Arts (B.A.), Business & Human Resources Management",Human Resources,bachelor of arts ba business human resources management,human resources
bachelor,bachelor,"Bachelor of Arts (B.A.), Business Studies",,bachelor of arts ba business studies,business
